指标,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年
国民总收入(亿元),896915.6,820099.5,737074,683390.5,642097.6,588141.2,537329,483392.8,410354.1,347934.9,321229.5,270704,219028.5,185998.9,161415.4,136576.3,120480.4,109276.2,99066.1,89366.5
国内生产总值(亿元),900309.5,820754.3,740060.8,685992.9,641280.6,592963.2,538580,487940.2,412119.3,348517.7,319244.6,270092.3,219438.5,187318.9,161840.2,137422,121717.4,110863.1,100280.1,90564.4
第一产业增加值(亿元),64734,62099.5,60139.2,57774.6,55626.3,53028.1,49084.5,44781.4,38430.8,33583.8,32464.1,27674.1,23317,21806.7,20904.3,16970.2,16190.2,15502.5,14717.4,14549
第二产业增加值(亿元),366000.9,332742.7,296547.7,282040.3,277571.8,261956.1,244643.3,227038.8,191629.8,160171.7,149956.6,126633.6,104361.8,88084.4,74286.9,62697.4,54105.5,49660.7,45664.8,41080.9
第三产业增加值(亿元),469574.6,425912.1,383373.9,346178,308082.5,277979.1,244852.2,216120,182058.6,154762.2,136823.9,115784.6,91759.7,77427.8,66648.9,57754.4,51421.7,45700,39897.9,34934.5
人均国内生产总值(元),64644,59201,53680,50028,47005,43684,39874,36302,30808,26180,24100,20494,16738,14368,12487,10666,9506,8717,7942,7229


