指标,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年
研究生招生数(万人),85.7966,80.6103,66.7064,64.5055,62.1323,61.1381,58.9673,56.0168,53.8177,51.0953,44.6422,41.8612,39.7925,36.4831,32.6286,26.8925,20.2611,16.5197,12.8484,9.2225
研究生在学人数(万人),273.1257,263.9561,198.1051,191.1406,184.7689,179.3953,171.9818,164.5845,153.8416,140.4942,128.3046,119.5047,110.4653,97.861,81.9896,65.126,50.098,39.3256,30.1239,23.3513
研究生毕业生数(万人),60.4368,57.8045,56.3938,55.1522,53.5863,51.3626,48.6455,42.9994,38.36,37.1273,34.4825,31.1839,25.5902,18.9728,15.0777,11.1091,8.0841,6.7809,5.8767,5.467
出国留学人员(万人),66.21,60.84,54.45,52.37,45.98,41.39,39.96,33.97,28.47,22.93,17.98,14.4,13.4,11.8515,11.4682,11.7307,12.5179,8.3973,3.8989,2.3749
学成回国留学人员(万人),51.94,48.09,43.25,40.91,36.48,35.35,27.29,18.62,13.48,10.83,6.93,4.4,4.2,3.4987,2.4726,2.0152,1.7945,1.2243,0.9121,0.7748

