国家,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
英国,11970758,11893520,11813186,11736055,11658619,11569885,11477670,11394531,11315488,11226025,11135542,11038502
,,,,,,,,,,,,
